"Blendshape","Activation","Intercept","Effect","Perc_eff","Std_error","T_value","P_value","Random_eff","Correlation","N_samples"
"EyeBlinkLeft","HA",43.2,4.6,11,0.69,6.63,0,3,0.63,4628
"EyeSquintLeft","HA",47.3,3.7,8,0.4,9.09,0,3,0.83,4960
"EyeWideLeft","HA",52.4,-18.3,35,0.56,-32.7,0,3,0.79,2886
"EyeBlinkRight","HA",43,4.1,10,0.69,5.99,0,3,0.64,4628
"EyeSquintRight","HA",45.9,8.3,18,0.37,22.39,0,3,0.82,5416
"EyeWideRight","HA",54.5,-22.1,41,0.53,-42.04,0,3,0.74,2660
"JawForward","HA",20,-3.8,19,0.24,-15.89,0,3,0.81,5684
"JawOpen","HA",20.4,4.9,24,0.22,22.15,0,3,0.85,7756
"MouthClose","HA",19.8,6.8,34,0.24,27.9,0,3,0.87,6648
"MouthFunnel","HA",33.4,-7.2,22,0.35,-20.75,0,3,0.45,6468
"MouthPucker","HA",62.7,9.3,15,0.68,13.82,0,3,0.9,4912
"MouthSmileLeft","HA",36.3,-4.4,12,0.54,-8.17,0,3,0.88,5290
"MouthSmileRight","HA",41.5,-11.6,28,0.61,-19,0,3,0.8,3972
"MouthFrownLeft","HA",52.1,-11.7,22,0.37,-31.7,0,3,0.93,7426
"MouthFrownRight","HA",52.2,-12.6,24,0.39,-32.58,0,3,0.92,6886
"MouthDimpleLeft","HA",28.7,-3.4,12,0.31,-11.19,0,3,0.83,5054
"MouthDimpleRight","HA",28.5,-4.6,16,0.31,-14.7,0,3,0.77,4928
"MouthStretchLeft","HA",18,3.9,22,0.13,29.61,0,3,0.74,8362
"MouthStretchRight","HA",17.1,0.7,4,0.12,5.5,0,3,0.57,7854
"MouthRollLower","HA",34.7,0.2,1,0.39,0.41,0.681,3,0.97,5968
"MouthRollUpper","HA",35.1,5.1,15,0.23,22.5,0,3,0.96,4786
"MouthShrugLower","HA",60,-13.4,22,0.33,-40.98,0,3,0.8,7574
"MouthShrugUpper","HA",56.7,-16.8,30,0.34,-48.93,0,3,0.79,6448
"MouthPressLeft","HA",34.3,-9.9,29,0.25,-38.74,0,3,0.86,6878
"MouthPressRight","HA",34.6,-6,17,0.25,-23.43,0,3,0.87,7002
"MouthLowerDownLeft","HA",21.9,3.9,18,0.38,10.27,0,3,0.85,4984
"MouthLowerDownRight","HA",20.9,1.3,6,0.33,3.78,0.0002,3,0.86,5120
"MouthUpperUpLeft","HA",10.1,-0.3,3,0.16,-1.98,0.0478,3,0.85,5870
"MouthUpperUpRight","HA",10.1,-3.3,33,0.14,-23.17,0,3,0.83,5794
"BrowDownLeft","HA",53.8,-3.9,7,0.52,-7.42,0,3,0.84,6456
"BrowDownRight","HA",53.8,-3.6,7,0.52,-6.97,0,3,0.84,6462
"BrowInnerUp","HA",59,-5.3,9,0.93,-5.68,0,2,0.9,3962
"BrowOuterUpLeft","HA",60.7,-7.4,12,0.78,-9.51,0,2,0.79,3104
"BrowOuterUpRight","HA",61.1,-7.8,13,0.78,-10.1,0,2,0.79,3064
"CheekPuff","HA",11.5,1.5,13,0.09,16.36,0,3,0.64,6276
"CheekSquintLeft","HA",39.1,-6.8,17,0.38,-17.92,0,3,0.82,5030
"CheekSquintRight","HA",40,-9.1,23,0.39,-23.34,0,3,0.75,5124
"NoseSneerLeft","HA",39.8,0.2,1,0.39,0.64,0.5227,3,0.91,5002
"NoseSneerRight","HA",40.1,-5.9,15,0.38,-15.69,0,3,0.92,4772
