"Blendshape","Activation","Intercept","Effect","Perc_eff","Std_error","T_value","P_value","Random_eff","Correlation","N_samples"
"EyeBlinkLeft","LA",4.2,3,71,0.07,41.76,0,3,0.17,41576
"EyeSquintLeft","LA",8.2,13,159,0.04,344.82,0,3,0.46,51346
"EyeWideLeft","LA",10.1,-8.9,88,0.08,-109.82,0,3,0.36,17692
"EyeBlinkRight","LA",4,3.8,95,0.07,51.82,0,2,0.17,42080
"EyeSquintRight","LA",8,15.9,199,0.05,341.8,0,3,0.45,50890
"EyeWideRight","LA",10.3,-9.2,89,0.08,-114.61,0,3,0.36,17870
"JawForward","LA",4,-0.2,5,0.04,-5.38,0,3,0.47,22090
"JawOpen","LA",3.6,3.1,86,0.03,94.78,0,3,0.67,46084
"MouthClose","LA",3.6,3.5,97,0.03,122.4,0,3,0.65,44998
"MouthFunnel","LA",4.4,2.4,55,0.04,63.66,0,3,0.46,42342
"MouthPucker","LA",6.9,5.2,75,0.05,99.11,0,3,0.55,51082
"MouthSmileLeft","LA",6.8,-2.3,34,0.12,-19.27,0,2,0.1,9526
"MouthSmileRight","LA",8.9,-6.9,78,0.14,-48.04,0,3,-0.03,8486
"MouthFrownLeft","LA",9.3,-3.2,34,0.12,-26.46,0,3,0.37,24802
"MouthFrownRight","LA",8.2,-0.8,10,0.09,-9.19,0,3,0.28,35912
"MouthDimpleLeft","LA",3.3,1.2,36,0.06,19.98,0,3,0.4,13832
"MouthDimpleRight","LA",3.5,1,29,0.06,15.5,0,3,0.37,13468
"MouthStretchLeft","LA",6.3,3.9,62,0.03,133.89,0,3,0.49,47944
"MouthStretchRight","LA",6.2,2.3,37,0.03,82.16,0,3,0.48,48452
"MouthRollLower","LA",4.6,2.5,54,0.04,64.21,0,3,0.59,49990
"MouthRollUpper","LA",2.2,2.3,105,0.05,43.23,0,3,0.38,18084
"MouthShrugLower","LA",11.4,0.7,6,0.07,11.48,0,3,0.49,48732
"MouthShrugUpper","LA",7.9,-0.4,5,0.05,-7.02,0,3,0.44,48482
"MouthPressLeft","LA",5,0.3,6,0.03,8.92,0,3,0.6,48450
"MouthPressRight","LA",5,1.5,30,0.03,46.29,0,3,0.61,49086
"MouthLowerDownLeft","LA",3.2,2,62,0.03,65.64,0,3,0.43,43014
"MouthLowerDownRight","LA",3.1,1.7,55,0.03,54.33,0,3,0.41,36136
"MouthUpperUpLeft","LA",3.6,-0.4,11,0.04,-9.86,0,3,0.07,10298
"MouthUpperUpRight","LA",4.3,-2,47,0.05,-40.1,0,3,0.05,7638
"BrowDownLeft","LA",8.8,2.1,24,0.07,28.04,0,3,0.37,42786
"BrowDownRight","LA",8.8,2.5,28,0.07,33.81,0,3,0.42,42840
"BrowInnerUp","LA",4.8,0.7,15,0.04,20.32,0,3,0.47,49786
"BrowOuterUpLeft","LA",9.7,-8.3,86,0.11,-77.11,0,3,0.05,13438
"BrowOuterUpRight","LA",9.8,-8.6,88,0.11,-80.73,0,3,0.05,13602
"CheekPuff","LA",2.4,2,83,0.02,105.47,0,3,0.42,25606
"CheekSquintLeft","LA",5.2,1.4,27,0.03,56.13,0,3,0.47,51276
"CheekSquintRight","LA",5.3,1.4,26,0.03,53.78,0,3,0.37,51182
"NoseSneerLeft","LA",6,2,33,0.03,75.93,0,2,0.46,50972
"NoseSneerRight","LA",6.1,0,0,0.02,-1.08,0.2808,3,0.4,51142
