"Blendshape","Activation","Intercept","Effect","Perc_eff","Std_error","T_value","P_value","Random_eff","Correlation","N_samples"
"EyeBlinkLeft","HA",42.1,7.4,18,0.59,12.61,0,3,0.76,5452
"EyeSquintLeft","HA",45.7,15,33,0.36,42.11,0,3,0.77,5270
"EyeWideLeft","HA",56.6,-33.5,59,0.51,-65.3,0,3,0.67,2518
"EyeBlinkRight","HA",42.3,7,17,0.6,11.7,0,3,0.76,5402
"EyeSquintRight","HA",46.8,9.1,19,0.38,24.04,0,3,0.87,5070
"EyeWideRight","HA",57.9,-23.7,41,0.66,-35.76,0,2,0.77,2678
"JawForward","HA",19.5,-3.6,18,0.2,-17.65,0,3,0.84,6984
"JawOpen","HA",20.4,4.2,21,0.21,19.66,0,3,0.87,7976
"MouthClose","HA",19.5,5.4,28,0.23,23.85,0,3,0.89,6760
"MouthFunnel","HA",33.4,-11.6,35,0.3,-39.34,0,3,0.62,6476
"MouthPucker","HA",61.6,6,10,0.68,8.79,0,3,0.9,5066
"MouthSmileLeft","HA",41.3,-13.6,33,0.61,-22.45,0,3,0.66,4086
"MouthSmileRight","HA",38.7,-4.5,12,0.59,-7.67,0,3,0.82,4600
"MouthFrownLeft","HA",54.8,-15.9,29,0.42,-38.17,0,3,0.92,6060
"MouthFrownRight","HA",50.7,-11.3,22,0.38,-29.36,0,3,0.94,7642
"MouthDimpleLeft","HA",26.9,-10.2,38,0.28,-37.03,0,3,0.88,5450
"MouthDimpleRight","HA",26.9,-5.4,20,0.29,-18.84,0,3,0.88,5488
"MouthStretchLeft","HA",17.5,-3.9,22,0.11,-34.86,0,3,0.52,9172
"MouthStretchRight","HA",16.8,3.5,21,0.11,32.7,0,3,0.69,9670
"MouthRollLower","HA",34.4,0.2,1,0.36,0.48,0.6302,3,0.96,6182
"MouthRollUpper","HA",33.5,5,15,0.24,20.81,0,3,0.98,4664
"MouthShrugLower","HA",59.7,-10.6,18,0.36,-29.66,0,3,0.68,7796
"MouthShrugUpper","HA",56.2,-14.8,26,0.38,-38.88,0,3,0.63,6692
"MouthPressLeft","HA",34.3,-2.8,8,0.28,-10.22,0,3,0.83,6908
"MouthPressRight","HA",35,-10.8,31,0.27,-40.2,0,3,0.8,6870
"MouthLowerDownLeft","HA",22.8,-4.4,19,0.37,-11.99,0,3,0.86,4430
"MouthLowerDownRight","HA",21.8,1.1,5,0.4,2.84,0.0046,3,0.88,4622
"MouthUpperUpLeft","HA",10.1,-3.5,35,0.14,-25.49,0,3,0.87,5928
"MouthUpperUpRight","HA",10.1,0,0,0.16,0.27,0.789,3,0.91,5910
"BrowDownLeft","HA",55.1,3.7,7,0.5,7.34,0,3,0.87,6254
"BrowDownRight","HA",54.4,3.3,6,0.5,6.61,0,3,0.87,6344
"BrowInnerUp","HA",64.9,-10.9,17,0.98,-11.15,0,2,0.91,3336
"BrowOuterUpLeft","HA",67.8,-14.1,21,0.65,-21.76,0,2,0.8,2688
"BrowOuterUpRight","HA",66.8,-12.7,19,0.66,-19.22,0,2,0.8,2754
"CheekPuff","HA",11.2,0.1,1,0.09,1.22,0.2222,3,0.6,6686
"CheekSquintLeft","HA",37.9,-14.3,38,0.36,-39.46,0,3,0.81,4884
"CheekSquintRight","HA",39,-9,23,0.43,-21.08,0,3,0.88,4934
"NoseSneerLeft","HA",37.3,-3.2,9,0.4,-8.08,0,3,0.94,4834
"NoseSneerRight","HA",35.9,1.2,3,0.42,2.72,0.0065,3,0.94,5198
