"Blendshape","Activation","Intercept","Effect","Perc_eff","Std_error","T_value","P_value","Random_eff","Correlation","N_samples"
"EyeBlinkLeft","LA",2.8,7.3,261,0.05,142.49,0,3,0.32,46152
"EyeSquintLeft","LA",8.3,24.6,296,0.05,500.98,0,3,0.42,51036
"EyeWideLeft","LA",10.9,-10.2,94,0.08,-125.97,0,3,0.35,17870
"EyeBlinkRight","LA",2.9,5.9,203,0.05,114.55,0,3,0.32,46010
"EyeSquintRight","LA",8.2,18.4,224,0.04,473.28,0,3,0.45,51236
"EyeWideRight","LA",10.6,-9.7,92,0.08,-121.75,0,3,0.37,17790
"JawForward","LA",4.2,-0.4,10,0.04,-9.61,0,3,0.52,16598
"JawOpen","LA",3.7,2.6,70,0.03,83.11,0,3,0.73,42322
"MouthClose","LA",3.7,2.5,68,0.03,91.87,0,3,0.7,41788
"MouthFunnel","LA",4.9,0.9,18,0.03,26.42,0,3,0.47,35646
"MouthPucker","LA",6.9,5.6,81,0.05,109.23,0,3,0.49,51148
"MouthSmileLeft","LA",7.1,-4.1,58,0.11,-36.67,0,3,-0.17,11398
"MouthSmileRight","LA",6.7,-2.2,33,0.11,-20.24,0,3,0.12,7944
"MouthFrownLeft","LA",7.9,-2.2,28,0.09,-23.97,0,3,0.3,35162
"MouthFrownRight","LA",8.3,-1.5,18,0.09,-16.26,0,3,0.41,31564
"MouthDimpleLeft","LA",3.8,0,0,0.06,0.39,0.6939,3,0.4,8412
"MouthDimpleRight","LA",3.4,0.9,26,0.05,19.37,0,3,0.53,11340
"MouthStretchLeft","LA",6.3,0,0,0.03,0.14,0.8895,3,0.57,47134
"MouthStretchRight","LA",5.9,4,68,0.03,143.19,0,3,0.66,46636
"MouthRollLower","LA",4.4,2.9,66,0.03,83.97,0,3,0.75,50044
"MouthRollUpper","LA",2.3,2.3,100,0.04,66.29,0,3,0.58,20182
"MouthShrugLower","LA",11.4,1.9,17,0.07,29.56,0,3,0.58,48510
"MouthShrugUpper","LA",7.6,0.7,9,0.05,14,0,3,0.52,49518
"MouthPressLeft","LA",4.8,2,42,0.03,70.27,0,3,0.66,49388
"MouthPressRight","LA",5.1,-0.2,4,0.03,-8.1,0,3,0.65,45138
"MouthLowerDownLeft","LA",4.7,-0.6,13,0.04,-16.94,0,3,0.33,23072
"MouthLowerDownRight","LA",3.6,1.1,31,0.03,41.71,0,3,0.47,33172
"MouthUpperUpLeft","LA",4,-1.7,42,0.03,-48.74,0,3,0.23,8190
"MouthUpperUpRight","LA",3.8,-0.9,24,0.04,-22.27,0,3,0.38,8410
"BrowDownLeft","LA",8.5,7.8,92,0.07,113.04,0,3,0.69,43688
"BrowDownRight","LA",8.5,7.1,84,0.07,99.71,0,3,0.66,43068
"BrowInnerUp","LA",6.2,-2.4,39,0.05,-44.67,0,3,0.59,35444
"BrowOuterUpLeft","LA",10,-9.6,96,0.1,-93.44,0,2,0.47,13298
"BrowOuterUpRight","LA",9.7,-9.6,99,0.1,-95.14,0,2,0.46,13414
"CheekPuff","LA",2.2,2.3,105,0.02,118.35,0,3,0.42,29732
"CheekSquintLeft","LA",5.2,1.1,21,0.02,49.54,0,2,0.53,51278
"CheekSquintRight","LA",5.2,2.6,50,0.02,111.41,0,3,0.56,51372
"NoseSneerLeft","LA",6,1.5,25,0.02,67.69,0,3,0.59,51472
"NoseSneerRight","LA",6,2.6,43,0.02,104.92,0,3,0.7,51108
