"Blendshape","Activation","Intercept","Effect","Perc_eff","Std_error","T_value","P_value","Random_eff","Correlation","N_samples"
"EyeBlinkLeft","HA",42.7,12.4,29,0.88,14.07,0,3,0.61,2840
"EyeSquintLeft","HA",43.7,16.9,39,0.55,30.86,0,3,0.76,2814
"EyeWideLeft","HA",51.1,5.9,12,0.86,6.81,0,3,0.92,2196
"EyeBlinkRight","HA",42.6,12.4,29,0.88,14.03,0,3,0.62,2832
"EyeSquintRight","HA",43.8,16.9,39,0.55,30.66,0,3,0.75,2818
"EyeWideRight","HA",51,5.9,12,0.86,6.81,0,3,0.92,2204
"JawForward","HA",19.6,-3.9,20,0.19,-20.55,0,3,0.93,3892
"JawOpen","HA",20.5,-0.9,4,0.29,-2.97,0.003,3,0.59,3680
"MouthClose","HA",17.4,1.9,11,0.32,6.17,0,3,0.74,3556
"MouthFunnel","HA",32,-8.9,28,0.35,-25.19,0,3,0.5,3550
"MouthPucker","HA",68.9,-5.4,8,1,-5.39,0,3,0.85,2106
"MouthSmileLeft","HA",32.3,2.1,7,0.64,3.3,0.001,3,0.92,3826
"MouthSmileRight","HA",32.9,5.5,17,0.73,7.6,0,2,0.92,3354
"MouthFrownLeft","HA",51.4,-3.8,7,0.51,-7.32,0,3,0.94,4050
"MouthFrownRight","HA",51.3,-6.2,12,0.56,-10.98,0,3,0.94,3820
"MouthDimpleLeft","HA",30.4,-0.7,2,0.39,-1.86,0.0623,3,0.97,2876
"MouthDimpleRight","HA",30,0.6,2,0.38,1.47,0.1426,3,0.97,2846
"MouthStretchLeft","HA",17.5,0.2,1,0.12,2.02,0.0431,3,0.61,4958
"MouthStretchRight","HA",16.5,0,0,0.12,0.1,0.9182,3,0.56,4874
"MouthRollLower","HA",33.2,-2.9,9,0.45,-6.45,0,3,0.96,3622
"MouthRollUpper","HA",31.7,-6.7,21,0.33,-20.39,0,3,0.96,2640
"MouthShrugLower","HA",58.1,-1.5,3,0.44,-3.42,0.0006,3,0.84,4048
"MouthShrugUpper","HA",55.4,-6.2,11,0.46,-13.65,0,3,0.88,3454
"MouthPressLeft","HA",30.9,0.4,1,0.32,1.16,0.2442,3,0.86,3782
"MouthPressRight","HA",31.3,0.3,1,0.32,1.03,0.3027,3,0.85,3784
"MouthLowerDownLeft","HA",22.2,2.9,13,0.43,6.87,0,3,0.87,2954
"MouthLowerDownRight","HA",21.7,3.4,16,0.43,7.94,0,3,0.88,2822
"MouthUpperUpLeft","HA",9.8,0.3,3,0.21,1.25,0.213,3,0.91,2966
"MouthUpperUpRight","HA",9.5,0.6,6,0.2,3.24,0.0012,3,0.92,3232
"BrowDownLeft","HA",58.6,-0.6,1,0.71,-0.88,0.3801,3,0.94,2748
"BrowDownRight","HA",58.6,-0.7,1,0.71,-0.94,0.3483,3,0.94,2746
"BrowInnerUp","HA",64.9,-8.9,14,0.9,-9.93,0,3,0.91,2442
"BrowOuterUpLeft","HA",56.6,-5,9,0.92,-5.45,0,3,0.93,2362
"BrowOuterUpRight","HA",56.6,-5,9,0.92,-5.43,0,3,0.93,2366
"CheekPuff","HA",10.4,4.6,44,0.17,27.63,0,3,0.68,3504
"CheekSquintLeft","HA",33,4,12,0.6,6.63,0,2,0.9,2922
"CheekSquintRight","HA",36.5,5.8,16,0.59,9.81,0,3,0.91,2890
"NoseSneerLeft","HA",29.8,-2.4,8,0.61,-3.88,0.0001,2,0.95,2962
"NoseSneerRight","HA",30.8,-1.7,6,0.64,-2.62,0.0087,2,0.95,2854
