"Blendshape","Activation","Intercept","Effect","Perc_eff","Std_error","T_value","P_value","Random_eff","Correlation","N_samples"
"EyeBlinkLeft","LA",7.9,0.6,8,0.13,4.31,0,3,0.13,11380
"EyeSquintLeft","LA",7.7,19.3,251,0.06,310.44,0,3,0.32,27578
"EyeWideLeft","LA",6.4,2.8,44,0.1,27.43,0,3,0.61,11416
"EyeBlinkRight","LA",7.9,0.6,8,0.13,4.17,0,3,0.13,11354
"EyeSquintRight","LA",7.7,19.3,251,0.06,311.63,0,3,0.32,27574
"EyeWideRight","LA",6.4,2.9,45,0.1,27.71,0,3,0.6,11436
"JawForward","LA",2.6,1.6,62,0.04,41.51,0,3,0.6,14604
"JawOpen","LA",3.9,1.5,38,0.04,39.87,0,3,0.56,22898
"MouthClose","LA",4.1,1.5,37,0.03,46.36,0,3,0.55,20556
"MouthFunnel","LA",3.8,2.3,61,0.04,59.93,0,2,0.55,26034
"MouthPucker","LA",7.2,2.5,35,0.06,43.61,0,3,0.5,28128
"MouthSmileLeft","LA",3.7,3.4,92,0.11,32.41,0,3,0.38,8734
"MouthSmileRight","LA",2.5,6.9,276,0.09,73.52,0,3,0.4,11836
"MouthFrownLeft","LA",6.2,4.6,74,0.15,31.09,0,3,0.35,12166
"MouthFrownRight","LA",7.8,0.2,3,0.14,1.31,0.1915,3,0.33,11732
"MouthDimpleLeft","LA",1.9,3.1,163,0.03,106.19,0,3,0.46,18536
"MouthDimpleRight","LA",1.9,3.3,174,0.03,106.11,0,3,0.41,18526
"MouthStretchLeft","LA",6,3.7,62,0.04,102.57,0,3,0.46,25434
"MouthStretchRight","LA",5.9,2.9,49,0.04,79.81,0,3,0.51,25518
"MouthRollLower","LA",4,5.6,140,0.04,141.9,0,3,0.63,26770
"MouthRollUpper","LA",2.6,1.7,65,0.05,36.53,0,3,0.5,7258
"MouthShrugLower","LA",10.9,14.3,131,0.09,150.85,0,3,0.58,26344
"MouthShrugUpper","LA",7.3,9.9,136,0.08,126.97,0,3,0.67,26932
"MouthPressLeft","LA",4.7,7.7,164,0.06,125.34,0,3,0.34,26610
"MouthPressRight","LA",4.8,7.9,165,0.06,128.28,0,3,0.35,26608
"MouthLowerDownLeft","LA",2.9,3.5,121,0.03,120.34,0,3,0.57,27118
"MouthLowerDownRight","LA",2.7,3.4,126,0.03,120.87,0,3,0.6,26950
"MouthUpperUpLeft","LA",3.3,0.1,3,0.04,1.76,0.0785,3,0.13,6140
"MouthUpperUpRight","LA",3,0.5,17,0.04,13.79,0,3,0.28,6238
"BrowDownLeft","LA",7.8,2.6,33,0.08,30.46,0,3,0.73,21200
"BrowDownRight","LA",7.7,2.5,32,0.09,28.92,0,3,0.73,21056
"BrowInnerUp","LA",4.6,3.6,78,0.04,99.67,0,3,0.68,27196
"BrowOuterUpLeft","LA",9.2,-7.3,79,0.12,-62.81,0,3,0.3,6590
"BrowOuterUpRight","LA",9.2,-7.3,79,0.12,-62.6,0,3,0.29,6710
"CheekPuff","LA",1.9,4.7,247,0.03,156.99,0,3,0.21,23516
"CheekSquintLeft","LA",5,7.2,144,0.04,197.91,0,3,0.64,27470
"CheekSquintRight","LA",5.1,8.4,165,0.04,218.12,0,3,0.67,27502
"NoseSneerLeft","LA",5.8,1.4,24,0.03,52.17,0,3,0.63,27146
"NoseSneerRight","LA",5.8,1.7,29,0.03,59.92,0,3,0.62,27262
