"Blendshape","Activation","Intercept","Effect","Perc_eff","Std_error","T_value","P_value","Random_eff","Correlation","N_samples"
"EyeBlinkLeft","HA",39.7,2.6,7,0.89,2.9,0.0038,3,0.78,2734
"EyeSquintLeft","HA",49.3,-14,28,0.66,-21.31,0,3,0.8,2262
"EyeWideLeft","HA",55.6,-20.8,37,0.7,-29.73,0,3,0.91,1926
"EyeBlinkRight","HA",39.7,2.7,7,0.89,3.02,0.0025,3,0.78,2732
"EyeSquintRight","HA",49.4,-14,28,0.66,-21.21,0,3,0.8,2260
"EyeWideRight","HA",55.6,-20.8,37,0.7,-29.72,0,3,0.91,1926
"JawForward","HA",18.6,-4.3,23,0.18,-23.63,0,3,0.91,4324
"JawOpen","HA",19.6,-1.1,6,0.24,-4.57,0,3,0.73,3986
"MouthClose","HA",17.3,-2.6,15,0.25,-10.62,0,3,0.86,3556
"MouthFunnel","HA",31.6,-1,3,0.41,-2.41,0.0162,2,0.77,3660
"MouthPucker","HA",61.3,5.1,8,1.02,4.96,0,3,0.94,2606
"MouthSmileLeft","HA",40.3,-9.1,23,0.83,-10.98,0,3,0.93,2442
"MouthSmileRight","HA",38.7,-6.2,16,0.85,-7.38,0,3,0.93,2480
"MouthFrownLeft","HA",49.6,-5.9,12,0.48,-12.32,0,3,0.95,4248
"MouthFrownRight","HA",48.3,-6.3,13,0.49,-12.77,0,3,0.95,4416
"MouthDimpleLeft","HA",29.3,-12.4,42,0.38,-32.27,0,3,0.66,2960
"MouthDimpleRight","HA",28.6,-12.1,42,0.37,-32.79,0,3,0.67,3014
"MouthStretchLeft","HA",17,9.2,54,0.15,62.31,0,3,0.65,5514
"MouthStretchRight","HA",16.6,10,60,0.15,65.36,0,3,0.68,5268
"MouthRollLower","HA",33.1,-0.8,2,0.4,-2.11,0.0351,3,0.97,4186
"MouthRollUpper","HA",33.9,-5.4,16,0.26,-20.66,0,3,0.98,2610
"MouthShrugLower","HA",59,-2,3,0.43,-4.74,0,3,0.93,4114
"MouthShrugUpper","HA",54.6,0.2,0,0.46,0.43,0.6692,3,0.92,3606
"MouthPressLeft","HA",31.6,9.3,29,0.34,27.02,0,3,0.9,3818
"MouthPressRight","HA",32,8.8,28,0.34,25.61,0,3,0.9,3834
"MouthLowerDownLeft","HA",20.5,-3.2,16,0.37,-8.67,0,3,0.86,3188
"MouthLowerDownRight","HA",19.6,-2.7,14,0.36,-7.5,0,3,0.87,3154
"MouthUpperUpLeft","HA",9.2,6.1,66,0.17,35.89,0,3,0.79,3844
"MouthUpperUpRight","HA",9.3,6.2,67,0.17,36.09,0,3,0.78,3760
"BrowDownLeft","HA",55.6,0.6,1,0.72,0.9,0.3683,3,0.89,3276
"BrowDownRight","HA",55.7,0.7,1,0.72,0.92,0.3589,3,0.89,3270
"BrowInnerUp","HA",65.8,-8,12,0.94,-8.5,0,3,0.9,2276
"BrowOuterUpLeft","HA",58.3,-11.3,19,0.94,-12.07,0,3,0.9,2140
"BrowOuterUpRight","HA",58.2,-11.3,19,0.94,-12.07,0,3,0.9,2142
"CheekPuff","HA",10.2,7.5,74,0.18,41.28,0,3,0.52,3332
"CheekSquintLeft","HA",40.3,-8.2,20,0.48,-17.05,0,3,0.93,2680
"CheekSquintRight","HA",42.3,-8.8,21,0.53,-16.62,0,3,0.93,2618
"NoseSneerLeft","HA",26.7,11.9,45,0.51,23.27,0,2,0.92,3778
"NoseSneerRight","HA",31,11.6,37,0.42,27.73,0,3,0.94,3710
