"Blendshape","Activation","Intercept","Effect","Perc_eff","Std_error","T_value","P_value","Random_eff","Correlation","N_samples"
"EyeBlinkLeft","LA",5.2,4.8,92,0.1,46.61,0,3,0.2,16222
"EyeSquintLeft","LA",8.1,-3.3,41,0.04,-80.89,0,3,0.58,27546
"EyeWideLeft","LA",8.6,-5,58,0.11,-46.09,0,3,0.27,8710
"EyeBlinkRight","LA",5.2,4.8,92,0.1,46.77,0,3,0.2,16228
"EyeSquintRight","LA",8.1,-3.3,41,0.04,-80.9,0,3,0.58,27550
"EyeWideRight","LA",8.6,-4.9,57,0.11,-46.17,0,3,0.27,8738
"JawForward","LA",3,1.9,63,0.05,41.03,0,3,0.57,11702
"JawOpen","LA",4.2,1.3,31,0.05,26.93,0,3,0.64,18050
"MouthClose","LA",4,0.9,22,0.03,28.88,0,3,0.61,18606
"MouthFunnel","LA",4.5,1.3,29,0.05,25.65,0,3,0.51,19938
"MouthPucker","LA",6.7,3.7,55,0.06,57.17,0,3,0.74,27692
"MouthSmileLeft","LA",8.4,-6.3,75,0.13,-49.75,0,3,0.31,7076
"MouthSmileRight","LA",8.2,-5.4,66,0.14,-39.52,0,2,0.16,5710
"MouthFrownLeft","LA",4.1,8.1,198,0.13,62.92,0,3,0.49,15860
"MouthFrownRight","LA",4.6,6.2,135,0.13,47.93,0,3,0.42,16046
"MouthDimpleLeft","LA",2.7,2.1,78,0.06,36.03,0,3,0.21,11374
"MouthDimpleRight","LA",2.7,2.1,78,0.06,36.93,0,3,0.22,11066
"MouthStretchLeft","LA",6.2,8.5,137,0.05,170.65,0,3,0.38,24878
"MouthStretchRight","LA",6,8.7,145,0.05,174.82,0,3,0.43,25124
"MouthRollLower","LA",3.9,3.5,90,0.04,89.83,0,3,0.72,25950
"MouthRollUpper","LA",4,-0.7,18,0.08,-8.81,0,3,0.44,3776
"MouthShrugLower","LA",10.8,6.2,57,0.08,79.12,0,3,0.71,26278
"MouthShrugUpper","LA",7.1,5,70,0.07,74.83,0,3,0.75,26786
"MouthPressLeft","LA",4.5,5.9,131,0.04,131.39,0,3,0.67,26574
"MouthPressRight","LA",4.6,5.6,122,0.04,127.09,0,3,0.69,26558
"MouthLowerDownLeft","LA",3.3,1.9,58,0.03,58.89,0,3,0.57,21110
"MouthLowerDownRight","LA",3,2.3,77,0.03,72.69,0,3,0.59,21246
"MouthUpperUpLeft","LA",1.7,3.4,200,0.02,154.99,0,3,0.65,21448
"MouthUpperUpRight","LA",1.6,3.5,219,0.02,149.13,0,3,0.64,19692
"BrowDownLeft","LA",7.6,1.6,21,0.09,16.9,0,3,0.42,20854
"BrowDownRight","LA",7.5,1.6,21,0.09,17.56,0,3,0.42,20862
"BrowInnerUp","LA",4.6,4.1,89,0.04,94.25,0,3,0.45,27962
"BrowOuterUpLeft","LA",8.8,-7.2,82,0.13,-54.59,0,3,0.06,7134
"BrowOuterUpRight","LA",8.9,-7.3,82,0.13,-55.47,0,3,0.06,7184
"CheekPuff","LA",2,3.5,175,0.03,119.64,0,3,0.42,19374
"CheekSquintLeft","LA",5.3,-0.6,11,0.03,-18.65,0,3,0.6,26012
"CheekSquintRight","LA",5.4,-0.6,11,0.03,-20.75,0,3,0.61,26116
"NoseSneerLeft","LA",5.5,9.1,165,0.04,218.55,0,3,0.68,26614
"NoseSneerRight","LA",5.5,9.1,165,0.04,217.89,0,3,0.67,26682
